Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
59,3186869287,josh9117,0,98.35,P Michael Lorenzen P Dylan Bundy OF Shohei Ohtani OF Juan Soto 2B Brandon Lowe SS Wander Franco 1B Jared Walsh 3B Anthony Rendon C Max Stassi OF Brett Phillips,,Max Stassi,C,4.26%,13
59,3186887196,Ryeguyrollin,0,98.35,P Michael Lorenzen P Dylan Bundy OF Byron Buxton OF Juan Soto SS Carlos Correa 2B Ozzie Albies 3B Austin Riley 1B Jared Walsh OF Marcell Ozuna C Gary Sánchez,,Yandy Díaz,3B,4.26%,2
62,3186828071,sportsfan882,0,97.65,P Huascar Ynoa P Michael Lorenzen OF Byron Buxton SS Carlos Correa OF George Springer 2B Jorge Polanco 3B Austin Riley OF Max Kepler C Gary Sánchez 1B Billy McKinney,,Alejandro Kirk,C,4.04%,0
63,3186863227,abiester3,0,97.35,P Michael Lorenzen P Nick Martinez OF Shohei Ohtani OF Juan Soto SS Wander Franco OF Kyle Schwarber 2B Ozzie Albies 3B Austin Riley 1B Luke Voit C Cal Raleigh,,Matt Chapman,3B,4.04%,0
64,3186678328,westy1322,0,97.1,P Nick Martinez P Dylan Bundy OF Bryce Harper 1B Vladimir Guerrero Jr. OF Byron Buxton OF Kyle Schwarber SS Carlos Correa 3B Alec Bohm 2B Luis Arraez C Joey Bart,,Jesús Sánchez,OF,3.83%,28
65,3186857465,bignumber55,0,96.85,P Alek Manoah P Huascar Ynoa OF Shohei Ohtani 2B Ozzie Albies 1B Jared Walsh OF Marcell Ozuna 3B Luis Arraez OF Brandon Marsh C Manny Piña SS Orlando Arcia,,Brandon Belt,1B,3.83%,13
66,3186490985,wakeywakey,0,96.8,P Alek Manoah P Michael Lorenzen SS Wander Franco OF Jesse Winker OF Mitch Haniger 3B Eugenio Suárez 2B Adam Frazier 1B Ji-Man Choi C Francisco Mejía OF Julio Rodríguez,,Ty France,1B,3.62%,0
67,3186268903,I_Slewfoot_U,0,96.55,P Alek Manoah P Nick Martinez 3B Manny Machado OF Starling Marte 1B Pete Alonso OF Mark Canha 2B Jake Cronenworth OF Brandon Nimmo C Austin Nola SS Luis Guillorme,,Joey Bart,C,3.62%,9
68,3186675305,cobby9,0,95.9,P Ranger Suárez P Taijuan Walker SS Wander Franco OF George Springer OF Teoscar Hernández OF Mark Canha 1B Ji-Man Choi 3B Matt Chapman C Alejandro Kirk 2B Santiago Espinal,,Austin Nola,C,3.40%,14
69,3186596220,kholtonkjd,0,95.65,P Huascar Ynoa P Michael Lorenzen 1B Shohei Ohtani OF Byron Buxton 2B Ozzie Albies 3B Austin Riley OF Adam Duvall OF Marcell Ozuna C Austin Nola SS Tyler Wade,,Adam Frazier,2B,3.40%,0
70,3186495658,jrock328,0,95.6,P Alex Wood P Dylan Bundy OF Shohei Ohtani OF Kyle Schwarber 2B Ozzie Albies C J.T. Realmuto 3B Yandy Díaz 1B Ji-Man Choi SS Didi Gregorius OF Julio Rodríguez,,Alec Bohm,3B,3.40%,11
70,3186651695,jlampert22,0,95.6,P Alex Wood P Dylan Bundy 1B Vladimir Guerrero Jr. OF Shohei Ohtani SS Bo Bichette OF Kyle Schwarber C Max Stassi 3B Gio Urshela OF Brandon Marsh 2B Tyler Wade,,Joey Wendle,2B,3.40%,5
72,3186407954,LTDOG24,0,95.55,P Alek Manoah P Nick Martinez OF Bryce Harper 2B Brandon Lowe OF Kyle Schwarber C J.T. Realmuto SS Didi Gregorius 3B Alec Bohm OF Brett Phillips 1B Billy McKinney,,Brett Phillips,OF,3.40%,0
